Ticker,numShares
A,309651008
AA,185919008
AAL,422894016
AAOI,20120200
AAP,69259400
AAPL,4334329856
AAT,60067900
AAWW,26126600
AAXN,59824300
ABBV,1476669952
ABEO,83622096
ABG,19278600
ABM,66589300
ABMD,45008700
ABT,1768850048
ABTX,20403000
AC,3401380
ACA,48210800
ACAD,155860992
ACBI,21484600
ACC,137604000
ACCO,94462096
ACHC,88942496
ACIA,41787200
ACIW,115599000
ACM,160086000
ACNB,8669910
ACOR,47985300
ACRE,33389000
ACRS,41832200
ACRX,80415800
ACTG,50385300
ADBE,483268000
ADC,53853800
ADI,368220000
ADM,555496000
ADMA,86345296
ADMS,28158200
ADNT,93793400
ADP,429774016
ADPT,125238000
ADRO,80837104
ADS,47628000
ADSK,219520992
ADSW,89903400
ADT,770147968
ADTN,48083900
ADUS,15559300
ADVM,79681296
AEE,246736992
AEGN,30683600
AEIS,38265600
AEL,91524600
AEP,494832992
AERI,46468300
AES,664768000
AFG,89857296
AFI,21520200
AFIN,108475000
AFL,717507968
AFMD,76249904
AGCO,75054096
AGE,37656400
AGIO,68889400
AGLE,29147500
AGM,9180970
AGNC,567699968
AGO,92270200
AGR,309004992
AGS,35534600
AGX,15645000
AGYS,23656900
AHH,56492100
AHT,103266000
AIMC,64647100
AIMT,65222900
AIN,30700000
AIR,35100700
AIT,38707000
AIZ,59735800
AJG,189620992
AJRD,78527800
AJX,22921900
AKAM,162000000
AKBA,130266000
AKCA,101074000
AKR,86845000
AKRO,28671200
AKRX,132990000
AKTS,36389000
AL,113635000
ALB,106319000
ALBO,14978200
ALCO,7479670
ALDX,29670400
ALEC,78992896
ALEX,72306496
ALG,11837500
ALGT,16370400
ALK,122585000
ALKS,158739008
ALL,314116000
ALLE,92220200
ALLK,48665700
ALLO,125331000
ALLY,373156000
ALNY,114819000
ALOT,7069570
ALRM,48704100
ALSN,113177000
ALTM,74929296
ALTR,41776100
ALX,5107290
ALXN,220827008
AM,476494016
AMAG,34270000
AMAL,31000300
AMAT,918305024
AMBA,34339400
AMBC,45779000
AMC,52472500
AMCX,40556200
AMD,1171190016
AME,229190000
AMED,32370300
AMG,47238500
AMGN,588246976
AMH,300291008
AMK,72390096
AMKR,241148992
AMN,46854400
AMNB,10965500
AMOT,9734550
AMP,122300000
AMPH,46235800
AMPY,37566400
AMRC,29567700
AMRX,147300992
AMSF,19302800
AMSWA,30368500
AMT,443305984
AMTB,28879600
AMWD,16925200
AMZN,498776000
AN,89474400
ANAB,27277100
ANDE,33532600
ANET,75704496
ANF,61597700
ANGO,37694800
ANH,98919600
ANIK,14269400
ANIP,12089600
ANSS,85595400
AOBC,55068300
AON,231084992
AOS,135096000
AOSL,25076000
APA,377417984
APAM,60647300
APD,220855008
APEI,15398200
APLE,223316992
APLS,75499200
APLT,21969300
APOG,26507900
APPF,16712300
APPN,34562600
APPS,86741104
APRE,20990500
APTS,47583000
APY,77505200
AQUA,116975000
AR,268390000
ARA,32996700
ARAY,90467000
ARCB,25262500
ARCH,15142700
ARD,18660000
ARDX,89056800
ARE,126195000
ARES,132397000
ARGO,34499500
ARI,153823008
ARLO,77359504
ARMK,252616000
AROC,152926000
AROW,14982100
ARQT,38089000
ARTNA,8410250
ARVN,39149600
ARW,78667800
ASB,153690000
ASC,33225500
ASGN,52443500
ASH,60456000
ASMB,32707300
ASPS,15570400
ASRT,81344800
ASTE,22551800
ATEN,78709696
ATEX,17166300
ATGE,51802400
ATH,194224000
ATHX,196475008
ATKR,47187500
ATLO,9122750
ATNI,15979400
ATNX,81648800
ATO,122312000
ATR,64186800
ATRA,58952000
ATRC,40072500
ATRO,23205700
ATRS,165560000
ATUS,412128000
ATVI,770484992
AUB,78710400
AVA,67291296
AVAV,23995100
AVD,30178700
AVGO,399791008
AVID,43210500
AVLR,78010304
AVNS,47756600
AVRO,36030700
AVT,98746704
AVTR,574929984
AVY,83340000
AVYA,92983696
AWI,48959300
AWK,181023008
AWR,36883800
AX,59655700
AXAS,168400000
AXE,34001500
AXGN,39761900
AXL,113038000
AXNX,34519000
AXP,804972032
AXS,84298000
AXSM,37075400
AXTA,235268992
