,0
0,309651008
1,185919008
2,422894016
3,20120200
4,69259400
5,4334329856
6,60067900
7,26126600
8,59824300
9,1476669952
10,83622096
11,19278600
12,66589300
13,45008700
14,1768850048
15,20403000
16,3401380
17,48210800
18,155860992
19,21484600
20,137604000
21,94462096
22,88942496
23,41787200
24,115599000
25,160086000
26,8669910
27,47985300
28,33389000
29,41832200
30,80415800
31,50385300
32,483268000
33,53853800
34,368220000
35,555496000
36,86345296
37,28158200
38,93793400
39,429774016
40,125238000
41,80837104
42,47628000
43,219520992
44,89903400
45,770147968
46,48083900
47,15559300
48,79681296
49,246736992
50,30683600
51,38265600
52,91524600
53,494832992
54,46468300
55,664768000
56,89857296
57,21520200
58,108475000
59,717507968
60,76249904
61,75054096
62,37656400
63,68889400
64,29147500
65,9180970
66,567699968
67,92270200
68,309004992
69,35534600
70,15645000
71,23656900
72,56492100
73,103266000
74,64647100
75,65222900
76,30700000
77,35100700
78,38707000
79,59735800
80,189620992
81,78527800
82,22921900
83,162000000
84,130266000
85,101074000
86,86845000
87,28671200
88,132990000
89,36389000
90,113635000
91,106319000
92,14978200
93,7479670
94,29670400
95,78992896
96,72306496
97,11837500
98,16370400
99,122585000
100,158739008
101,314116000
102,92220200
103,48665700
104,125331000
105,373156000
106,114819000
107,7069570
108,48704100
109,113177000
110,74929296
111,41776100
112,5107290
113,220827008
114,476494016
115,34270000
116,31000300
117,918305024
118,34339400
119,45779000
120,52472500
121,40556200
122,1171190016
123,229190000
124,32370300
125,47238500
126,588246976
127,300291008
128,72390096
129,241148992
130,46854400
131,10965500
132,9734550
133,122300000
134,46235800
135,37566400
136,29567700
137,147300992
138,19302800
139,30368500
140,443305984
141,28879600
142,16925200
143,498776000
144,89474400
145,27277100
146,33532600
147,75704496
148,61597700
149,37694800
150,98919600
151,14269400
152,12089600
153,85595400
154,55068300
155,231084992
156,135096000
157,25076000
158,377417984
159,60647300
160,220855008
161,15398200
162,223316992
163,75499200
164,21969300
165,26507900
166,16712300
167,34562600
168,86741104
169,20990500
170,47583000
171,77505200
172,116975000
173,268390000
174,32996700
175,90467000
176,25262500
177,15142700
178,18660000
179,89056800
180,126195000
181,132397000
182,34499500
183,153823008
184,77359504
185,252616000
186,152926000
187,14982100
188,38089000
189,8410250
190,39149600
191,78667800
192,153690000
193,33225500
194,52443500
195,60456000
196,32707300
197,15570400
198,81344800
199,22551800
200,78709696
201,17166300
202,51802400
203,194224000
204,196475008
205,47187500
206,9122750
207,15979400
208,81648800
209,122312000
210,64186800
211,58952000
212,40072500
213,23205700
214,165560000
215,412128000
216,770484992
217,78710400
218,67291296
219,23995100
220,30178700
221,399791008
222,43210500
223,78010304
224,47756600
225,36030700
226,98746704
227,574929984
228,83340000
229,92983696
230,48959300
231,181023008
232,36883800
233,59655700
234,168400000
235,34001500
236,39761900
237,113038000
238,34519000
239,804972032
240,84298000
241,37075400
242,235268992
243,40826700
244,39641500
245,52843400
246,23352400
247,67600200
248,26148000
249,50442500
250,564324992
251,8675609600
252,140215008
253,49593100
254,19432600
255,32646700
256,10312700
257,39898700
258,508836000
259,126553000
260,121368000
261,7537060
262,78106096
263,257503008
264,79356096
265,17264900
266,39196600
267,20699100
268,22153400
269,50435900
270,47842900
271,38977100
272,32316700
273,154256992
274,44517500
275,19721900
276,98580200
277,35910700
278,282876000
279,90231104
280,49663100
281,34144800
282,68805800
283,10123600
284,495305984
285,132500000
286,169084000
287,60319000
288,224840000
289,7155960
290,15042300
291,23216100
292,20657000
293,142146000
294,310932992
295,42478200
296,64117400
297,10309200
298,2068640
299,15587400
300,36415500
301,98422704
302,50199000
303,58290600
304,39228800
305,166087008
306,72333600
307,24840900
308,138524000
309,18760600
310,188014000
311,49408200
312,62749700
313,149916000
314,40930700
315,655035008
316,92406304
317,56386600
318,26839800
319,33327200
320,116611000
321,154263008
322,49621200
323,325784992
324,87475800
325,55637500
326,39614000
327,66984200
328,29117400
329,13566000
330,180836992
331,19921500
332,48297600
333,32023000
334,17243600
335,70308496
336,22455100
337,14751200
338,28771500
339,152014000
340,81800496
341,54190000
342,6768410
343,57337000
344,114803000
345,39428600
346,49811300
347,19545300
348,23422600
349,154202000
350,73759000
351,283404000
352,19984700
353,16200000
354,298016000
355,79723504
356,10103700
357,80957000
358,7339370
359,1399350016
360,20182400
361,97700000
362,65748800
363,104845000
364,207310000
365,28807400
366,95228600
367,72484304
368,135356000
369,155315008
370,17570000
371,104487000
372,38383000
373,111607000
374,61857400
375,27816000
376,5715380
377,14951600
378,18151100
379,125898000
380,487076000
381,17506500
382,45461300
383,64692700
384,56624400
385,34325700
386,69555800
387,46727700
388,92655400
389,67144800
390,83040096
391,100915000
392,36793600
393,541238976
394,5417980
395,44454300
396,79420304
397,68882496
398,191967008
399,19391300
400,109720000
401,112087000
402,56679600
403,24949000
404,52031000
405,54420900
406,164218000
407,16748900
408,9423950
409,416751008
410,29227200
411,15397100
412,467304992
413,36859700
414,33332500
415,61792700
416,144838000
417,276020000
418,121528000
419,26956000
420,56482200
421,43784200
422,279187008
423,142258000
424,58900400
425,118229000
426,26029200
427,10254000
428,11329100
429,41802700
430,89461000
431,304348992
432,163988000
433,22192200
434,213796992
435,52098100
436,3648660
437,141512000
438,426587008
439,71558304
440,62553400
441,118327000
442,171688000
443,16313100
444,22163900
445,245892992
446,39434700
447,31031900
448,123646000
449,55846300
450,42255700
451,4905000
452,16896600
453,303424000
454,29888200
455,70883000
456,120283000
457,234196000
458,16643400
459,369316992
460,49341100
461,160802000
462,54547100
463,19984700
464,98366704
465,16064000
466,12443100
467,856528000
468,116158000
469,287151008
470,46958100
471,79411400
472,55579200
473,128366000
474,203696000
475,17814700
476,365111008
477,76900896
478,16570900
479,125934000
480,32990600
481,139035008
482,119062000
483,23700000
484,42141500
485,358584992
486,27890700
487,147526000
488,15932900
489,33904600
490,25878400
491,119783000
492,61740600
493,286220992
494,271376000
495,3652350
496,579129024
497,29653300
498,211511008
499,117149000
500,28528200
501,79516800
502,143610000
503,502615008
504,126142000
505,47756100
506,41822100
507,187059008
508,26107500
509,455310016
510,398576000
511,24166700
512,41461400
513,7141450
514,71575504
515,200272000
516,34306000
517,66117800
518,195284000
519,115200000
520,28697400
521,91970000
522,1072430016
523,37903400
524,45086100
525,114602000
526,441580000
527,760654016
528,66640900
529,31337900
530,301744992
531,397003008
532,16435800
533,58051200
534,149364992
535,233704992
536,103412000
537,16884500
538,14512100
539,99629600
540,57978500
541,7789230
542,72490400
543,108160000
544,43606300
545,49484800
546,6614110
547,36438500
548,32846000
549,68268304
550,47805000
551,29410100
552,58628100
553,18104700
554,37740400
555,4240880128
556,124132000
557,36726400
558,33075000
559,35247700
560,54912900
561,114228000
562,60717400
563,34401100
564,17203500
565,18307800
566,17873300
567,15125900
568,765465984
569,104050000
570,50266100
571,17819900
572,154898000
573,45922600
574,4710840
575,18254900
576,95468800
577,11650100
578,32354100
579,541054976
580,48742000
581,749283008
582,123451000
583,194043008
584,31470000
585,27674200
586,12274400
587,131599000
588,135880992
589,9141190
590,12475400
591,111854000
592,31975700
593,17600000
594,100531000
595,132024000
596,46601000
597,9762680
598,64063000
599,1307090048
600,15497600
601,42521700
602,79329800
603,37539800
604,219500000
605,47319900
606,48714000
607,196702000
608,114413000
609,119629000
610,27754900
611,119665000
612,13763000
613,683987008
614,839251008
615,45075700
616,637825984
617,144482000
618,161858000
619,77642200
620,277096000
621,126771000
622,11648700
623,33875400
624,55859300
625,314808000
626,75116704
627,27987600
628,175375008
629,253250000
630,33733400
631,306300992
632,251515008
633,23277000
634,28890100
635,133732000
636,237894000
637,363537984
638,53097000
639,16418400
640,1806269952
641,160020000
642,340161984
643,284616000
644,1380750
645,65004200
646,6890120
647,64434400
648,268211008
649,29359900
650,237231008
651,42188300
652,12642300
653,82111400
654,105605000
655,110353000
656,202556992
657,181456000
658,25544800
659,24447000
660,32443300
661,143947008
662,740731008
663,134580000
664,39117900
665,199819008
666,129823000
667,73842800
668,35060700
669,67070500
670,64589100
671,23201600
672,40332200
673,280801984
674,192612000
675,51414900
676,121800000
677,253720992
678,92344896
679,31601900
680,289673984
681,267179008
682,36906400
683,63047900
684,700852992
685,26061100
686,52427800
687,52402400
688,11825300
689,26614700
690,289166016
691,28258200
692,29959600
693,31097900
694,333976000
695,54982600
696,40787600
697,52199400
698,43839900
699,121385000
700,32197300
701,13679400
702,99400000
703,25527700
704,38528800
705,30373600
706,138860992
707,24570400
708,363560992
709,224763008
710,397976000
711,49958100
712,40125500
713,182147008
714,42989800
715,94108000
716,54846300
717,6230730
718,135894000
719,597475008
720,229704992
721,125212000
722,69432800
723,42308900
724,53665700
725,19924400
726,134607008
727,53195800
728,30039200
729,47557600
730,582054976
731,33728000
732,55594600
733,44007600
734,54303400
735,33101200
736,77571904
737,91949800
738,101061000
739,15199000
740,85927000
741,372104000
742,255454000
743,21525400
744,77811200
745,46189100
746,55546400
747,116469000
748,336292000
749,14096900
750,18620900
751,248752992
752,98601600
753,27617400
754,7669440
755,174446000
756,65412000
757,11105900
758,81720600
759,22317400
760,25929400
761,130574000
762,230134000
763,118591000
764,114257000
765,34343000
766,59815200
767,16500700
768,85474896
769,32333000
770,41356100
771,40535600
772,226740000
773,84457800
774,71865296
775,206555008
776,141435008
777,973929984
778,306659008
779,34316100
780,166192992
781,66652900
782,51538900
783,64456400
784,129039000
785,33165000
786,118018000
787,81205400
788,52651200
789,111421000
790,157816000
791,17231500
792,17719300
793,572819008
794,75937400
795,2404549888
796,137947008
797,8587450
798,32074700
799,43201100
800,21399900
801,29040800
802,13869700
803,3377880
804,17691200
805,11662000
806,10201300
807,98015400
808,37098300
809,9163220
810,70323800
811,1451960064
812,37285700
813,47719900
814,37871700
815,541753984
816,46164200
817,111445000
818,222844000
819,43743200
820,97968896
821,24655300
822,28213600
823,142222000
824,60896500
825,10184400
826,44615500
827,89068800
828,130351000
829,100938000
830,311863008
831,225710000
832,43161800
833,617737024
834,676336000
835,237407008
836,711305984
837,55734300
838,61990800
839,36471000
840,45213100
841,46616500
842,104191000
843,70706096
844,23806900
845,130842000
846,46530500
847,211563008
848,42639500
849,140174000
850,83770704
851,35754000
852,38562500
853,8000660
854,11129400
