Ticker,Q2 2019,Q3 2019,Q4 2019,Q1 2020,5/21/2020
A,-6.917019159,3.067090261,11.56326469,-15.8394735,11.52560117
AA,-16.86789773,-14.26740709,7.174887892,-71.36215714,34.41558442
AAL,2.979024053,-17.00366218,6.681509567,-57.34717774,-20.14598187
AAOI,-15.73770492,9.143968872,5.882352941,-36.11111111,14.09749671
AAP,-9.576120663,7.346925545,-3.130661642,-41.5638014,43.80054196
AAPL,4.602545554,13.59549773,31.50044337,-13.19529248,22.45694586
AAT,3.385286283,-0.212998797,-1.161598548,-45.07527851,0.350238975
AAWW,-11.70886076,-43.4811828,9.274673008,-6.891548785,54.2267238
AAXN,18.01139496,-11.57140632,29.059528,-3.425218341,8.181432811
ABBV,-8.570301223,5.710770451,18.62999909,-12.79722813,14.00278205
ABEO,-35.05434783,-52.71966527,44.69026549,-35.77981651,53.80952381
ABG,21.59746251,21.33032962,9.244600801,-50.59486537,32.12022452
ABM,10.5770914,-8.793823792,4.8881102,-35.40185244,30.37230359
ABMD,-8.788823138,-31.70947061,-4.103659565,-14.90708717,35.24386883
ABT,5.635456523,-0.131894089,4.229725631,-8.771218636,12.19289383
ABTX,-1.126927639,-3.74925015,17.17045809,-35.68909574,2.808414906
AC,-5.204499494,-4.839591372,10.429802,-21.93883506,27.36286063
ACA,23.37630508,-8.962256655,30.42218362,-10.70005666,-11.19426847
ACAD,-0.446927374,34.64272353,18.86635176,-1.238896681,22.0591716
ACBI,-3.98205272,1.285046729,5.824682814,-35.3133515,-8.171861837
ACC,-1.991235153,5.206513131,-1.210270651,-40.38899966,9.628756387
ACCO,-7.350552307,26.17816128,-4.498173734,-45.3180212,13.46574171
ACHC,19.24257932,-11.07296137,6.885456885,-44.76219145,51.11716621
ACIA,-17.76809067,38.67684478,3.685015291,-0.929066509,0.074426913
ACIW,4.472163067,-8.779848573,20.94173982,-36.25445427,7.329192547
ACM,27.56993596,-0.766182299,14.82960596,-30.79063297,19.36348409
ACNB,7.675730868,-12.6692553,11.03935626,-20.06253378,-22.96276265
ACOR,-42.28743416,-62.58148631,-28.91986063,-54.28431373,-19.96568733
ACRE,0.028352525,4.70325253,6.151943593,-53.83202054,-11.11669073
ACRS,-63.43906511,-50.68493151,75,-44.97354497,19.23076923
ACRX,-27.29885057,-13.04347826,-4.090909091,-44.07582938,23.72881356
ACTG,-9.202453988,-9.459459459,-0.746268657,-16.54135338,4.504504505
ADBE,10.56700064,-6.244697098,19.38823529,-3.50808041,20.08861237
ADC,-6.804257061,15.09199609,-3.255334958,-10.96441395,-4.043759515
ADI,7.809908177,-0.519705956,6.869994897,-24.12828861,20.65320762
ADM,-4.591902432,1.59667025,13.78552061,-23.50020014,-4.290051289
ADMA,2.110817942,14.9870801,-10.11235955,-28,1.041666667
ADMS,-12.79887482,-17.5,-25.90420332,-23.74670185,-3.114186851
ADNT,87.26851852,-5.397610218,-7.447735192,-57.31764706,85.33627343
ADP,3.996664568,-1.884109087,6.200049679,-19.27583098,-5.088298068
ADPT,#VALUE!,-36.02484472,-3.171521036,-7.152406417,44.1324694
ADRO,-61.30653266,-31.16883117,11.32075472,132.2033898,20.80291971
ADS,-19.56199891,-8.092055896,-11.91780083,-69.82633484,24.78989161
ADSK,4.543704274,-9.330877839,24.211239,-14.91333261,24.75976938
ADSW,13.96428571,2.068317142,0.92109303,-0.212960146,-2.5
ADT,-3.161189358,3.042986425,37.50294058,-45.0271454,33.20054774
ADTN,11.90175683,-25.00421339,-11.98744987,-21.53456352,36.92286512
ADUS,17.86444409,5.77718479,22.62865792,-30.4669821,36.05029586
ADVM,126.9083969,-54.16316232,111.3761468,-15.19097222,108.5977482
AEE,2.768506349,7.259112829,-3.42331126,-4.600845561,-7.828094742
AEGN,4.723961298,16.19565217,4.63049579,-19.84801073,-21.58393753
AEIS,13.26489533,2.02594633,24.02020554,-31.89606742,28.78944112
AEL,0.518134715,-10.89837997,24.93719008,-37.18695014,7.153764335
AEP,5.936087657,7.25072287,1.665539424,-14.7894882,-6.925771589
AERI,-37.78947368,-34.95769882,25.75442248,-44.14563508,18.59259259
AES,-6.562044036,-1.71301433,22.76183366,-31.17294462,-12.98077943
AFG,8.556507808,5.65045704,3.807640005,-35.82622921,-18.03567365
AFI,-27.57352941,-35.12690355,-33.17683881,-66.51053864,111.1888112
AFIN,3.724347606,31.11173145,-3.181056049,-51.76167405,4.923497735
AFL,10.18963473,-4.045957923,1.613331051,-34.92475197,-0.854049195
AFMD,-31.66666667,2.43902439,-6.802721088,-42.33576642,81.64556962
AGCO,11.78108405,-2.167198157,2.251277928,-38.68831219,6.916515149
AGE,-9.382716049,-46.59400545,-7.142857143,-48.9010989,-20.64516129
AGIO,-26.03795967,-35.04410585,47.37654321,-25.69633508,41.34723788
AGLE,-14.9068323,12.26277372,-0.650195059,-39.0052356,85.40772532
AGM,1.302548721,13.29065792,3.133860333,-32.43086079,7.687490697
AGNC,-3.77791794,-1.438167751,12.98572111,-38.25596547,6.332703214
AGO,-4.882269605,6.084265797,10.66310334,-47.11446581,-0.206495498
AGR,1.150744136,4.364796003,-1.202119369,-13.70348984,-11.92124517
AGS,-18.72127037,-47.14652956,17.99610895,-78.15333883,68.30188679
AGX,-18.3928813,-2.535062224,2.821147222,-13.36737971,3.997281411
AGYS,1.417099669,19.28272007,-0.780944943,-34.27784337,20.2994012
AHH,7.496804889,10.58427456,2.599448602,-40.20438865,-31.377312
AHT,-36.19027792,13.38292389,-12.78450781,-73.50379413,-15.91333582
AIMC,16.10403506,-22.35490502,31.38447762,-51.17665991,60.20740544
AIMT,-6.845637584,0.576368876,59.83763133,-56.91664177,19.97226075
AIN,16.10327252,8.98321378,-15.5865851,-37.35627236,15.49402538
AIR,13.41652469,12.21485411,9.63822002,-60.39186181,-0.354369633
AIT,4.049407082,-7.144981281,17.99907211,-31.13094609,16.78042213
AIZ,12.75192666,18.8682943,4.678525244,-20.23339885,-5.410539594
AJG,12.703408,2.750619259,6.811185689,-14.03005145,8.989736999
AJRD,26.00619195,12.82108555,-9.602058998,-8.388085852,-2.486253885
AJX,4.22941905,13.18661229,-2.405357387,-55.55244364,16.14252162
AKAM,11.75568261,14.02545545,-5.471656818,5.915721232,10.39457864
AKBA,-40.9035409,-19.00826446,61.2244898,19.93670886,63.9182058
AKCA,-17.22555595,-34.37100213,10.07147498,-15.58441558,2.657342657
AKR,1.396527377,5.441149093,-8.244769349,-51.09720536,-11.76759919
AKRO,#VALUE!,18.79895561,-2.43956044,-4.482991665,10.51886792
AKRX,46.30681818,-26.21359223,-60.52631579,-62.58666667,-67.0171062
AKTS,10.15490534,21.09375,3.225806452,-32.875,52.88640596
AL,20.75330528,1.454165566,13.98596267,-52.9358625,17.81473523
ALB,-13.67938049,-0.740369706,5.631045666,-22.36452766,17.48722195
ALBO,0.093138777,-37.96526055,27.1,-35.60188828,55.46731827
ALCO,11.72557691,12.32805674,5.590229079,-13.12055168,-2.34362558
ALDX,-33.55481728,-12.16666667,10.24667932,-57.48709122,71.65991903
ALEC,1.495726496,-24.10526316,19.48682386,40.04643064,30.99875673
ALEX,-8.571830282,6.978214438,-13.76758932,-45.87487324,-4.095408386
ALG,0.111505109,17.94719786,6.759142049,-29.21427218,3.943306501
ALGT,11.36789699,4.774684033,16.77717567,-52.75636724,6.984293694
ALK,14.5243742,2.151359768,4.896644409,-57.73954567,8.825680673
ALKS,-38.22965196,-13.44276841,4.561763198,-29.31372549,14.97919556
ALL,8.537078678,7.396551909,3.930771594,-18.00741565,0.086976678
ALLE,22.18431647,-5.993856284,20.42100489,-25.8701534,0.759663548
ALLK,6.987654321,81.46780522,21.27686634,-53.34521812,67.7455608
ALLO,-7.125562089,1.508379888,-4.678040726,-25.17321016,158.2304527
ALLY,13.37691955,7.555163115,-7.329427072,-52.50498118,8.615140129
ALNY,-22.35420011,10.83241455,43.21064412,-5.487540158,30.32613689
ALOT,27.07413978,-37.15830603,-14.71916576,-42.96683267,-22.1168122
